Case_ID,Group,Case_Type,Cycle_Time,Auth_Time,Evidence_Count,Session_Count,Backlog_Rate,Registration_Date,Verdict_Date,Court,Status
EXP-001,Experimental,Cyber Fraud,19,4,2,2,5.2,2023-07-01,2023-07-20,Tehran Appeal Court,Closed
EXP-002,Experimental,Cyber Fraud,20,5,3,2,5.2,2023-07-02,2023-07-22,Tehran Appeal Court,Closed
EXP-003,Experimental,Unauthorized Access,18,3,2,2,5.2,2023-07-03,2023-07-21,Tehran Appeal Court,Closed
EXP-004,Experimental,Cyber Fraud,19,4,3,2,5.2,2023-07-04,2023-07-23,Tehran Appeal Court,Closed
EXP-005,Experimental,Digital Forgery,19,4,2,2,5.2,2023-07-05,2023-07-24,Tehran Appeal Court,Closed
EXP-006,Experimental,Cyber Fraud,15,3,2,2,5.2,2023-07-06,2023-07-21,Tehran Appeal Court,Closed
EXP-007,Experimental,Unauthorized Access,18,5,3,2,5.2,2023-07-07,2023-07-25,Tehran Appeal Court,Closed
EXP-008,Experimental,Unauthorized Access,18,4,2,2,5.2,2023-07-08,2023-07-26,Tehran Appeal Court,Closed
EXP-009,Experimental,Unauthorized Access,14,3,2,2,5.2,2023-07-09,2023-07-23,Tehran Appeal Court,Closed
EXP-010,Experimental,Unauthorized Access,14,4,3,2,5.2,2023-07-10,2023-07-24,Tehran Appeal Court,Closed
EXP-011,Experimental,Cyber Fraud,17,4,2,2,5.2,2023-07-11,2023-07-28,Tehran Appeal Court,Closed
EXP-012,Experimental,Digital Forgery,17,5,3,2,5.2,2023-07-12,2023-07-29,Tehran Appeal Court,Closed
EXP-013,Experimental,Data Breach,17,4,2,2,5.2,2023-07-13,2023-07-30,Tehran Appeal Court,Closed
EXP-014,Experimental,Cyber Fraud,17,3,2,2,5.2,2023-07-14,2023-07-31,Tehran Appeal Court,Closed
EXP-015,Experimental,Unauthorized Access,17,4,3,2,5.2,2023-07-15,2023-08-01,Tehran Appeal Court,Closed
EXP-016,Experimental,Cyber Fraud,17,4,2,2,5.2,2023-07-16,2023-08-02,Tehran Appeal Court,Closed
EXP-017,Experimental,Digital Forgery,17,5,2,3,5.2,2023-07-17,2023-08-03,Tehran Appeal Court,Closed
EXP-018,Experimental,Cyber Fraud,17,4,3,3,5.2,2023-07-18,2023-08-04,Tehran Appeal Court,Closed
EXP-019,Experimental,Unauthorized Access,17,3,2,2,5.2,2023-07-19,2023-08-05,Tehran Appeal Court,Closed
EXP-020,Experimental,Data Breach,17,4,2,2,5.2,2023-07-20,2023-08-06,Tehran Appeal Court,Closed
EXP-021,Experimental,Cyber Fraud,17,5,3,2,5.2,2023-07-21,2023-08-07,Tehran Appeal Court,Closed
EXP-022,Experimental,Cyber Fraud,17,4,2,2,5.2,2023-07-22,2023-08-08,Tehran Appeal Court,Closed
EXP-023,Experimental,Unauthorized Access,17,3,2,2,5.2,2023-07-23,2023-08-09,Tehran Appeal Court,Closed
EXP-024,Experimental,Digital Forgery,17,4,3,2,5.2,2023-07-24,2023-08-10,Tehran Appeal Court,Closed
EXP-025,Experimental,Cyber Fraud,17,4,2,2,5.2,2023-07-25,2023-08-11,Tehran Appeal Court,Closed
EXP-026,Experimental,Unauthorized Access,17,5,2,2,5.2,2023-07-26,2023-08-12,Tehran Appeal Court,Closed
EXP-027,Experimental,Cyber Fraud,17,4,3,2,5.2,2023-07-27,2023-08-13,Tehran Appeal Court,Closed
EXP-028,Experimental,Data Breach,17,3,2,2,5.2,2023-07-28,2023-08-14,Tehran Appeal Court,Closed
EXP-029,Experimental,Cyber Fraud,17,4,2,2,5.2,2023-07-29,2023-08-15,Tehran Appeal Court,Closed
EXP-030,Experimental,Unauthorized Access,17,5,3,2,5.2,2023-07-30,2023-08-16,Tehran Appeal Court,Closed
EXP-031,Experimental,Cyber Fraud,16,4,2,2,5.2,2023-07-31,2023-08-17,Tehran Appeal Court,Closed
EXP-032,Experimental,Digital Forgery,16,3,2,2,5.2,2023-08-01,2023-08-18,Tehran Appeal Court,Closed
EXP-033,Experimental,Cyber Fraud,16,4,3,2,5.2,2023-08-02,2023-08-19,Tehran Appeal Court,Closed
EXP-034,Experimental,Unauthorized Access,16,4,2,2,5.2,2023-08-03,2023-08-20,Tehran Appeal Court,Closed
EXP-035,Experimental,Data Breach,16,5,2,2,5.2,2023-08-04,2023-08-21,Tehran Appeal Court,Closed
EXP-036,Experimental,Cyber Fraud,16,4,3,2,5.2,2023-08-05,2023-08-22,Tehran Appeal Court,Closed
EXP-037,Experimental,Unauthorized Access,16,3,2,2,5.2,2023-08-06,2023-08-23,Tehran Appeal Court,Closed
EXP-038,Experimental,Cyber Fraud,16,4,2,2,5.2,2023-08-07,2023-08-24,Tehran Appeal Court,Closed
EXP-039,Experimental,Digital Forgery,16,5,3,2,5.2,2023-08-08,2023-08-25,Tehran Appeal Court,Closed
EXP-040,Experimental,Cyber Fraud,16,4,2,2,5.2,2023-08-09,2023-08-26,Tehran Appeal Court,Closed
EXP-041,Experimental,Unauthorized Access,16,3,2,2,5.2,2023-08-10,2023-08-27,Tehran Appeal Court,Closed
EXP-042,Experimental,Data Breach,16,4,3,2,5.2,2023-08-11,2023-08-28,Tehran Appeal Court,Closed
EXP-043,Experimental,Cyber Fraud,16,4,2,2,5.2,2023-08-12,2023-08-29,Tehran Appeal Court,Closed
EXP-044,Experimental,Unauthorized Access,16,5,2,2,5.2,2023-08-13,2023-08-30,Tehran Appeal Court,Closed
EXP-045,Experimental,Cyber Fraud,16,4,3,2,5.2,2023-08-14,2023-08-31,Tehran Appeal Court,Closed
EXP-046,Experimental,Digital Forgery,16,3,2,2,5.2,2023-08-15,2023-09-01,Tehran Appeal Court,Closed
EXP-047,Experimental,Cyber Fraud,16,4,2,2,5.2,2023-08-16,2023-09-02,Tehran Appeal Court,Closed
EXP-048,Experimental,Unauthorized Access,16,5,3,2,5.2,2023-08-17,2023-09-03,Tehran Appeal Court,Closed
EXP-049,Experimental,Data Breach,16,4,2,2,5.2,2023-08-18,2023-09-04,Tehran Appeal Court,Closed
EXP-050,Experimental,Cyber Fraud,16,3,2,2,5.2,2023-08-19,2023-09-05,Tehran Appeal Court,Closed
EXP-051,Experimental,Cyber Fraud,16,4,2,2,5.2,2023-08-20,2023-09-06,Tehran Appeal Court,Closed
EXP-052,Experimental,Unauthorized Access,16,5,3,2,5.2,2023-08-21,2023-09-07,Tehran Appeal Court,Closed
EXP-053,Experimental,Digital Forgery,16,3,2,2,5.2,2023-08-22,2023-09-08,Tehran Appeal Court,Closed
EXP-054,Experimental,Cyber Fraud,16,4,2,2,5.2,2023-08-23,2023-09-09,Tehran Appeal Court,Closed
EXP-055,Experimental,Data Breach,16,4,3,2,5.2,2023-08-24,2023-09-10,Tehran Appeal Court,Closed
EXP-056,Experimental,Cyber Fraud,16,5,2,2,5.2,2023-08-25,2023-09-11,Tehran Appeal Court,Closed
EXP-057,Experimental,Unauthorized Access,16,4,2,2,5.2,2023-08-26,2023-09-12,Tehran Appeal Court,Closed
EXP-058,Experimental,Cyber Fraud,16,3,3,2,5.2,2023-08-27,2023-09-13,Tehran Appeal Court,Closed
EXP-059,Experimental,Digital Forgery,16,4,2,2,5.2,2023-08-28,2023-09-14,Tehran Appeal Court,Closed
EXP-060,Experimental,Unauthorized Access,16,4,2,2,5.2,2023-08-29,2023-09-15,Tehran Appeal Court,Closed
EXP-061,Experimental,Cyber Fraud,16,5,3,2,5.2,2023-08-30,2023-09-16,Tehran Appeal Court,Closed
EXP-062,Experimental,Data Breach,16,4,2,2,5.2,2023-08-31,2023-09-17,Tehran Appeal Court,Closed
EXP-063,Experimental,Cyber Fraud,16,3,2,2,5.2,2023-09-01,2023-09-18,Tehran Appeal Court,Closed
EXP-064,Experimental,Unauthorized Access,16,4,3,2,5.2,2023-09-02,2023-09-19,Tehran Appeal Court,Closed
EXP-065,Experimental,Digital Forgery,16,4,2,2,5.2,2023-09-03,2023-09-20,Tehran Appeal Court,Closed
EXP-066,Experimental,Cyber Fraud,16,5,2,2,5.2,2023-09-04,2023-09-21,Tehran Appeal Court,Closed
EXP-067,Experimental,Unauthorized Access,16,4,3,3,5.2,2023-09-05,2023-09-22,Tehran Appeal Court,Closed
EXP-068,Experimental,Cyber Fraud,16,3,2,2,5.2,2023-09-06,2023-09-23,Tehran Appeal Court,Closed
EXP-069,Experimental,Data Breach,16,4,2,2,5.2,2023-09-07,2023-09-24,Tehran Appeal Court,Closed
EXP-070,Experimental,Cyber Fraud,16,4,3,2,5.2,2023-09-08,2023-09-25,Tehran Appeal Court,Closed
EXP-071,Experimental,Unauthorized Access,16,5,2,2,5.2,2023-09-09,2023-09-26,Tehran Appeal Court,Closed
EXP-072,Experimental,Digital Forgery,16,4,2,2,5.2,2023-09-10,2023-09-27,Tehran Appeal Court,Closed
EXP-073,Experimental,Cyber Fraud,16,3,3,2,5.2,2023-09-11,2023-09-28,Tehran Appeal Court,Closed
EXP-074,Experimental,Unauthorized Access,16,4,2,2,5.2,2023-09-12,2023-09-29,Tehran Appeal Court,Closed
EXP-075,Experimental,Cyber Fraud,16,4,2,2,5.2,2023-09-13,2023-09-30,Tehran Appeal Court,Closed
EXP-076,Experimental,Data Breach,16,5,3,2,5.2,2023-09-14,2023-10-01,Tehran Appeal Court,Closed
EXP-077,Experimental,Cyber Fraud,16,4,2,2,5.2,2023-09-15,2023-10-02,Tehran Appeal Court,Closed
EXP-078,Experimental,Unauthorized Access,16,3,2,2,5.2,2023-09-16,2023-10-03,Tehran Appeal Court,Closed
EXP-079,Experimental,Digital Forgery,16,4,3,2,5.2,2023-09-17,2023-10-04,Tehran Appeal Court,Closed
EXP-080,Experimental,Cyber Fraud,16,4,2,2,5.2,2023-09-18,2023-10-05,Tehran Appeal Court,Closed
EXP-081,Experimental,Unauthorized Access,15,5,2,2,5.2,2023-09-19,2023-10-06,Tehran Appeal Court,Closed
EXP-082,Experimental,Cyber Fraud,15,4,3,2,5.2,2023-09-20,2023-10-07,Tehran Appeal Court,Closed
EXP-083,Experimental,Data Breach,15,3,2,2,5.2,2023-09-21,2023-10-08,Tehran Appeal Court,Closed
EXP-084,Experimental,Cyber Fraud,15,4,2,2,5.2,2023-09-22,2023-10-09,Tehran Appeal Court,Closed
EXP-085,Experimental,Unauthorized Access,15,4,3,2,5.2,2023-09-23,2023-10-10,Tehran Appeal Court,Closed
EXP-086,Experimental,Digital Forgery,15,5,2,2,5.2,2023-09-24,2023-10-11,Tehran Appeal Court,Closed
EXP-087,Experimental,Cyber Fraud,15,4,2,2,5.2,2023-09-25,2023-10-12,Tehran Appeal Court,Closed
EXP-088,Experimental,Unauthorized Access,15,3,3,3,5.2,2023-09-26,2023-10-13,Tehran Appeal Court,Closed
EXP-089,Experimental,Cyber Fraud,15,4,2,2,5.2,2023-09-27,2023-10-14,Tehran Appeal Court,Closed
EXP-090,Experimental,Data Breach,15,4,2,2,5.2,2023-09-28,2023-10-15,Tehran Appeal Court,Closed
EXP-091,Experimental,Cyber Fraud,15,5,3,2,5.2,2023-09-29,2023-10-16,Tehran Appeal Court,Closed
EXP-092,Experimental,Unauthorized Access,15,4,2,2,5.2,2023-09-30,2023-10-17,Tehran Appeal Court,Closed
EXP-093,Experimental,Digital Forgery,15,3,2,2,5.2,2023-10-01,2023-10-18,Tehran Appeal Court,Closed
EXP-094,Experimental,Cyber Fraud,15,4,3,2,5.2,2023-10-02,2023-10-19,Tehran Appeal Court,Closed
EXP-095,Experimental,Unauthorized Access,15,4,2,2,5.2,2023-10-03,2023-10-20,Tehran Appeal Court,Closed
EXP-096,Experimental,Cyber Fraud,15,5,2,2,5.2,2023-10-04,2023-10-21,Tehran Appeal Court,Closed
EXP-097,Experimental,Data Breach,15,4,3,2,5.2,2023-10-05,2023-10-22,Tehran Appeal Court,Closed
EXP-098,Experimental,Cyber Fraud,15,3,2,2,5.2,2023-10-06,2023-10-23,Tehran Appeal Court,Closed
EXP-099,Experimental,Unauthorized Access,15,4,2,2,5.2,2023-10-07,2023-10-24,Tehran Appeal Court,Closed
EXP-100,Experimental,Digital Forgery,15,4,3,2,5.2,2023-10-08,2023-10-25,Tehran Appeal Court,Closed
EXP-101,Experimental,Cyber Fraud,15,5,2,2,5.2,2023-10-09,2023-10-26,Tehran Appeal Court,Closed
EXP-102,Experimental,Unauthorized Access,15,4,3,2,5.2,2023-10-10,2023-10-27,Tehran Appeal Court,Closed
EXP-103,Experimental,Cyber Fraud,15,3,2,2,5.2,2023-10-11,2023-10-28,Tehran Appeal Court,Closed
EXP-104,Experimental,Data Breach,15,4,2,2,5.2,2023-10-12,2023-10-29,Tehran Appeal Court,Closed
EXP-105,Experimental,Digital Forgery,15,4,3,2,5.2,2023-10-13,2023-10-30,Tehran Appeal Court,Closed
EXP-106,Experimental,Cyber Fraud,15,5,2,2,5.2,2023-10-14,2023-10-31,Tehran Appeal Court,Closed
EXP-107,Experimental,Unauthorized Access,15,4,2,2,5.2,2023-10-15,2023-11-01,Tehran Appeal Court,Closed
EXP-108,Experimental,Cyber Fraud,15,3,3,2,5.2,2023-10-16,2023-11-02,Tehran Appeal Court,Closed
EXP-109,Experimental,Data Breach,15,4,2,2,5.2,2023-10-17,2023-11-03,Tehran Appeal Court,Closed
EXP-110,Experimental,Digital Forgery,15,4,2,2,5.2,2023-10-18,2023-11-04,Tehran Appeal Court,Closed
EXP-111,Experimental,Cyber Fraud,14,5,3,2,5.2,2023-10-19,2023-11-05,Tehran Appeal Court,Closed
EXP-112,Experimental,Unauthorized Access,14,4,2,2,5.2,2023-10-20,2023-11-06,Tehran Appeal Court,Closed
EXP-113,Experimental,Cyber Fraud,14,3,2,2,5.2,2023-10-21,2023-11-07,Tehran Appeal Court,Closed
EXP-114,Experimental,Data Breach,14,4,3,2,5.2,2023-10-22,2023-11-08,Tehran Appeal Court,Closed
EXP-115,Experimental,Digital Forgery,14,4,2,2,5.2,2023-10-23,2023-11-09,Tehran Appeal Court,Closed
EXP-116,Experimental,Cyber Fraud,14,5,2,2,5.2,2023-10-24,2023-11-10,Tehran Appeal Court,Closed
EXP-117,Experimental,Unauthorized Access,14,4,3,2,5.2,2023-10-25,2023-11-11,Tehran Appeal Court,Closed
EXP-118,Experimental,Cyber Fraud,14,3,2,2,5.2,2023-10-26,2023-11-12,Tehran Appeal Court,Closed
EXP-119,Experimental,Data Breach,14,4,2,2,5.2,2023-10-27,2023-11-13,Tehran Appeal Court,Closed
EXP-120,Experimental,Digital Forgery,14,4,3,2,5.2,2023-10-28,2023-11-14,Tehran Appeal Court,Closed
EXP-121,Experimental,Cyber Fraud,14,5,2,2,5.2,2023-10-29,2023-11-15,Tehran Appeal Court,Closed
EXP-122,Experimental,Unauthorized Access,14,4,2,2,5.2,2023-10-30,2023-11-16,Tehran Appeal Court,Closed
EXP-123,Experimental,Cyber Fraud,14,3,3,2,5.2,2023-10-31,2023-11-17,Tehran Appeal Court,Closed
EXP-124,Experimental,Data Breach,14,4,2,2,5.2,2023-11-01,2023-11-18,Tehran Appeal Court,Closed
EXP-125,Experimental,Digital Forgery,14,4,2,2,5.2,2023-11-02,2023-11-19,Tehran Appeal Court,Closed
EXP-126,Experimental,Cyber Fraud,14,5,3,2,5.2,2023-11-03,2023-11-20,Tehran Appeal Court,Closed
EXP-127,Experimental,Unauthorized Access,14,4,2,2,5.2,2023-11-04,2023-11-21,Tehran Appeal Court,Closed
EXP-128,Experimental,Cyber Fraud,14,3,2,2,5.2,2023-11-05,2023-11-22,Tehran Appeal Court,Closed
EXP-129,Experimental,Data Breach,14,4,3,2,5.2,2023-11-06,2023-11-23,Tehran Appeal Court,Closed
EXP-130,Experimental,Digital Forgery,14,4,2,2,5.2,2023-11-07,2023-11-24,Tehran Appeal Court,Closed
EXP-131,Experimental,Cyber Fraud,13,5,2,2,5.2,2023-11-08,2023-11-25,Tehran Appeal Court,Closed
EXP-132,Experimental,Unauthorized Access,13,4,3,2,5.2,2023-11-09,2023-11-26,Tehran Appeal Court,Closed
EXP-133,Experimental,Cyber Fraud,13,3,2,2,5.2,2023-11-10,2023-11-27,Tehran Appeal Court,Closed
EXP-134,Experimental,Data Breach,13,4,2,2,5.2,2023-11-11,2023-11-28,Tehran Appeal Court,Closed
EXP-135,Experimental,Digital Forgery,13,4,3,2,5.2,2023-11-12,2023-11-29,Tehran Appeal Court,Closed
EXP-136,Experimental,Cyber Fraud,13,5,2,2,5.2,2023-11-13,2023-11-30,Tehran Appeal Court,Closed
EXP-137,Experimental,Unauthorized Access,13,4,2,2,5.2,2023-11-14,2023-12-01,Tehran Appeal Court,Closed
EXP-138,Experimental,Cyber Fraud,13,3,3,2,5.2,2023-11-15,2023-12-02,Tehran Appeal Court,Closed
EXP-139,Experimental,Data Breach,13,4,2,2,5.2,2023-11-16,2023-12-03,Tehran Appeal Court,Closed
EXP-140,Experimental,Digital Forgery,13,4,2,2,5.2,2023-11-17,2023-12-04,Tehran Appeal Court,Closed
EXP-141,Experimental,Cyber Fraud,13,5,3,2,5.2,2023-11-18,2023-12-05,Tehran Appeal Court,Closed
EXP-142,Experimental,Unauthorized Access,13,4,2,2,5.2,2023-11-19,2023-12-06,Tehran Appeal Court,Closed
EXP-143,Experimental,Cyber Fraud,13,3,2,2,5.2,2023-11-20,2023-12-07,Tehran Appeal Court,Closed
EXP-144,Experimental,Data Breach,13,4,3,2,5.2,2023-11-21,2023-12-08,Tehran Appeal Court,Closed
EXP-145,Experimental,Digital Forgery,13,4,2,2,5.2,2023-11-22,2023-12-09,Tehran Appeal Court,Closed
EXP-146,Experimental,Cyber Fraud,13,5,2,2,5.2,2023-11-23,2023-12-10,Tehran Appeal Court,Closed
EXP-147,Experimental,Unauthorized Access,13,4,3,2,5.2,2023-11-24,2023-12-11,Tehran Appeal Court,Closed
EXP-148,Experimental,Cyber Fraud,13,3,2,3,5.2,2023-11-25,2023-12-12,Tehran Appeal Court,Closed
EXP-149,Experimental,Data Breach,13,4,2,2,5.2,2023-11-26,2023-12-13,Tehran Appeal Court,Closed
EXP-150,Experimental,Digital Forgery,13,4,3,2,5.2,2023-11-27,2023-12-14,Tehran Appeal Court,Closed
EXP-151,Experimental,Cyber Fraud,14,5,2,2,5.2,2023-11-28,2023-12-15,Tehran Appeal Court,Closed
EXP-152,Experimental,Unauthorized Access,14,4,3,2,5.2,2023-11-29,2023-12-16,Tehran Appeal Court,Closed
EXP-153,Experimental,Cyber Fraud,14,3,2,2,5.2,2023-11-30,2023-12-17,Tehran Appeal Court,Closed
EXP-154,Experimental,Data Breach,14,4,2,2,5.2,2023-12-01,2023-12-18,Tehran Appeal Court,Closed
EXP-155,Experimental,Digital Forgery,14,4,3,2,5.2,2023-12-02,2023-12-19,Tehran Appeal Court,Closed
EXP-156,Experimental,Cyber Fraud,14,5,2,2,5.2,2023-12-03,2023-12-20,Tehran Appeal Court,Closed
EXP-157,Experimental,Unauthorized Access,14,4,2,2,5.2,2023-12-04,2023-12-21,Tehran Appeal Court,Closed
EXP-158,Experimental,Cyber Fraud,14,3,3,2,5.2,2023-12-05,2023-12-22,Tehran Appeal Court,Closed
EXP-159,Experimental,Data Breach,14,4,2,2,5.2,2023-12-06,2023-12-23,Tehran Appeal Court,Closed
EXP-160,Experimental,Digital Forgery,14,4,2,2,5.2,2023-12-07,2023-12-24,Tehran Appeal Court,Closed
EXP-161,Experimental,Cyber Fraud,13,5,3,2,5.2,2023-12-08,2023-12-25,Tehran Appeal Court,Closed
EXP-162,Experimental,Unauthorized Access,13,4,2,2,5.2,2023-12-09,2023-12-26,Tehran Appeal Court,Closed
EXP-163,Experimental,Cyber Fraud,13,3,2,2,5.2,2023-12-10,2023-12-27,Tehran Appeal Court,Closed
EXP-164,Experimental,Data Breach,13,4,3,2,5.2,2023-12-11,2023-12-28,Tehran Appeal Court,Closed
EXP-165,Experimental,Digital Forgery,13,4,2,2,5.2,2023-12-12,2023-12-29,Tehran Appeal Court,Closed
EXP-166,Experimental,Cyber Fraud,13,5,2,2,5.2,2023-12-13,2023-12-30,Tehran Appeal Court,Closed
EXP-167,Experimental,Unauthorized Access,13,4,3,2,5.2,2023-12-14,2023-12-31,Tehran Appeal Court,Closed
EXP-168,Experimental,Cyber Fraud,13,3,2,2,5.2,2023-12-15,2024-01-01,Tehran Appeal Court,Closed
EXP-169,Experimental,Data Breach,13,4,2,2,5.2,2023-12-16,2024-01-02,Tehran Appeal Court,Closed
EXP-170,Experimental,Digital Forgery,13,4,3,2,5.2,2023-12-17,2024-01-03,Tehran Appeal Court,Closed
EXP-171,Experimental,Cyber Fraud,12,5,2,2,5.2,2023-12-18,2024-01-04,Tehran Appeal Court,Closed
EXP-172,Experimental,Unauthorized Access,12,4,2,2,5.2,2023-12-19,2024-01-05,Tehran Appeal Court,Closed
EXP-173,Experimental,Cyber Fraud,12,3,3,2,5.2,2023-12-20,2024-01-06,Tehran Appeal Court,Closed
EXP-174,Experimental,Data Breach,12,4,2,2,5.2,2023-12-21,2024-01-07,Tehran Appeal Court,Closed
EXP-175,Experimental,Digital Forgery,12,4,2,2,5.2,2023-12-22,2024-01-08,Tehran Appeal Court,Closed
EXP-176,Experimental,Cyber Fraud,12,5,3,2,5.2,2023-12-23,2024-01-09,Tehran Appeal Court,Closed
EXP-177,Experimental,Unauthorized Access,12,4,2,2,5.2,2023-12-24,2024-01-10,Tehran Appeal Court,Closed
EXP-178,Experimental,Cyber Fraud,12,3,2,2,5.2,2023-12-25,2024-01-11,Tehran Appeal Court,Closed
EXP-179,Experimental,Data Breach,12,4,3,2,5.2,2023-12-26,2024-01-12,Tehran Appeal Court,Closed
EXP-180,Experimental,Digital Forgery,12,4,2,2,5.2,2023-12-27,2024-01-13,Tehran Appeal Court,Closed
EXP-181,Experimental,Cyber Fraud,12,5,2,2,5.2,2023-12-28,2024-01-14,Tehran Appeal Court,Closed
EXP-182,Experimental,Unauthorized Access,12,4,3,2,5.2,2023-12-29,2024-01-15,Tehran Appeal Court,Closed
EXP-183,Experimental,Cyber Fraud,12,3,2,2,5.2,2023-12-30,2024-01-16,Tehran Appeal Court,Closed
EXP-184,Experimental,Data Breach,12,4,2,2,5.2,2023-12-31,2024-01-17,Tehran Appeal Court,Closed
EXP-185,Experimental,Digital Forgery,12,4,3,2,5.2,2024-01-01,2024-01-18,Tehran Appeal Court,Closed
EXP-186,Experimental,Cyber Fraud,12,5,2,3,5.2,2024-01-02,2024-01-19,Tehran Appeal Court,Closed
EXP-187,Experimental,Unauthorized Access,12,4,2,2,5.2,2024-01-03,2024-01-20,Tehran Appeal Court,Closed
EXP-188,Experimental,Cyber Fraud,12,3,3,2,5.2,2024-01-04,2024-01-21,Tehran Appeal Court,Closed
EXP-189,Experimental,Data Breach,12,4,2,2,5.2,2024-01-05,2024-01-22,Tehran Appeal Court,Closed
EXP-190,Experimental,Digital Forgery,12,4,2,2,5.2,2024-01-06,2024-01-23,Tehran Appeal Court,Closed
EXP-191,Experimental,Cyber Fraud,11,5,3,2,5.2,2024-01-07,2024-01-24,Tehran Appeal Court,Closed
EXP-192,Experimental,Unauthorized Access,11,4,2,2,5.2,2024-01-08,2024-01-25,Tehran Appeal Court,Closed
EXP-193,Experimental,Cyber Fraud,11,3,2,2,5.2,2024-01-09,2024-01-26,Tehran Appeal Court,Closed
EXP-194,Experimental,Data Breach,11,4,3,2,5.2,2024-01-10,2024-01-27,Tehran Appeal Court,Closed
EXP-195,Experimental,Digital Forgery,11,4,2,2,5.2,2024-01-11,2024-01-28,Tehran Appeal Court,Closed
EXP-196,Experimental,Cyber Fraud,11,5,2,2,5.2,2024-01-12,2024-01-29,Tehran Appeal Court,Closed
EXP-197,Experimental,Unauthorized Access,11,4,3,2,5.2,2024-01-13,2024-01-30,Tehran Appeal Court,Closed
EXP-198,Experimental,Cyber Fraud,11,3,2,2,5.2,2024-01-14,2024-01-31,Tehran Appeal Court,Closed
EXP-199,Experimental,Data Breach,11,4,2,2,5.2,2024-01-15,2024-02-01,Tehran Appeal Court,Closed
EXP-200,Experimental,Digital Forgery,11,4,3,2,5.2,2024-01-16,2024-02-02,Tehran Appeal Court,Closed
EXP-201,Experimental,Cyber Fraud,10,5,2,2,5.2,2024-01-17,2024-02-03,Tehran Appeal Court,Closed
EXP-202,Experimental,Unauthorized Access,10,4,2,2,5.2,2024-01-18,2024-02-04,Tehran Appeal Court,Closed
EXP-203,Experimental,Cyber Fraud,10,3,3,2,5.2,2024-01-19,2024-02-05,Tehran Appeal Court,Closed
EXP-204,Experimental,Data Breach,10,4,2,2,5.2,2024-01-20,2024-02-06,Tehran Appeal Court,Closed
EXP-205,Experimental,Digital Forgery,10,4,2,2,5.2,2024-01-21,2024-02-07,Tehran Appeal Court,Closed
EXP-206,Experimental,Cyber Fraud,10,5,3,2,5.2,2024-01-22,2024-02-08,Tehran Appeal Court,Closed
EXP-207,Experimental,Unauthorized Access,10,4,2,2,5.2,2024-01-23,2024-02-09,Tehran Appeal Court,Closed
EXP-208,Experimental,Cyber Fraud,10,3,2,2,5.2,2024-01-24,2024-02-10,Tehran Appeal Court,Closed
EXP-209,Experimental,Data Breach,10,4,3,2,5.2,2024-01-25,2024-02-11,Tehran Appeal Court,Closed
EXP-210,Experimental,Digital Forgery,10,4,2,2,5.2,2024-01-26,2024-02-12,Tehran Appeal Court,Closed